# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:12:36
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1014
# duration_s=16.882
# achieved_rate_hz=60.06
# longest_frame_ms=20.5
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
86,1432.914,16.667,1.06168,-8.60431,-4.92068,0.88295,-8.47084,-4.86166,-0.01601,0.00343,0.05911
87,1450.257,16.667,1.10687,-8.63948,-4.91500,0.87519,-8.47207,-4.86092,0.02581,0.00996,0.06965
88,1466.327,16.667,0.99015,-8.61314,-4.92038,0.86313,-8.47721,-4.85410,0.05014,-0.00365,0.07152
89,1482.894,16.667,0.96052,-8.72881,-4.80995,0.85375,-8.48154,-4.84819,0.04069,-0.01323,0.07040
90,1499.777,16.667,0.93703,-8.77669,-4.75833,0.84212,-8.48418,-4.84561,0.00428,-0.03386,0.08504
91,1516.481,16.667,0.88013,-8.74956,-4.87730,0.82787,-8.48473,-4.84711,-0.01070,-0.04537,0.08690
92,1533.350,16.667,0.81807,-8.49942,-4.91335,0.80932,-8.48605,-4.84792,0.02132,-0.03353,0.08287
93,1549.529,16.667,0.67921,-8.41876,-4.93340,0.79745,-8.48970,-4.84349,0.05389,-0.02855,0.06543
94,1566.296,16.667,0.60124,-8.45774,-4.81034,0.78871,-8.49499,-4.83564,0.06805,0.00258,0.05122
95,1582.852,16.667,0.58972,-8.52575,-4.64715,0.78097,-8.50235,-4.82395,0.06544,0.00572,0.04120
96,1600.308,16.667,0.60124,-8.49612,-4.48928,0.77767,-8.50648,-4.81720,0.03159,0.02487,0.02496
97,1614.624,16.667,0.61965,-8.48206,-4.52624,0.77755,-8.50767,-4.81512,-0.00427,0.02132,0.00516
98,1630.644,16.667,0.64254,-8.52725,-4.55976,0.77923,-8.50633,-4.81721,-0.02844,0.02366,-0.00770
99,1646.629,16.667,0.71078,-8.55134,-4.92338,0.78446,-8.50436,-4.81984,0.00463,0.03757,-0.02140
100,1666.291,16.667,0.74340,-8.58037,-5.03246,0.79030,-8.50683,-4.81453,0.06679,0.04502,-0.02315
101,1679.727,16.667,0.77123,-8.62900,-4.99655,0.79637,-8.51259,-4.80333,0.09527,0.04537,-0.01957
102,1698.355,16.667,0.83438,-8.83236,-5.16714,0.80094,-8.52279,-4.78445,0.12371,0.00703,-0.00015
103,1714.841,16.667,0.96980,-8.93486,-5.18853,0.79911,-8.53283,-4.76683,0.15078,-0.01483,0.02644
104,1732.940,16.667,0.93853,-8.93875,-5.11087,0.79089,-8.54905,-4.73906,0.17315,-0.02732,0.04105
105,1749.876,16.667,0.89992,-8.94908,-5.05057,0.78382,-8.56198,-4.71683,0.17897,-0.02589,0.04095
106,1766.028,16.667,0.85368,-9.00354,-4.95929,0.77688,-8.57448,-4.69522,0.16377,-0.01369,0.04421
107,1782.976,16.667,0.83378,-8.99576,-4.93041,0.76704,-8.59020,-4.66802,0.15777,-0.03132,0.05142
108,1799.663,16.667,0.93823,-9.03003,-4.90901,0.75619,-8.60195,-4.64812,0.15782,-0.04597,0.07518
109,1816.025,16.667,0.94062,-9.03961,-4.69518,0.74119,-8.61374,-4.62867,0.14895,-0.06525,0.09522
110,1832.941,16.667,0.72709,-8.97167,-4.60585,0.71798,-8.62729,-4.60704,0.11489,-0.07435,0.09319
111,1849.544,16.667,0.76510,-9.10231,-4.70535,0.70082,-8.63591,-4.59350,0.11018,-0.07292,0.09590
112,1866.225,16.667,0.86326,-9.58519,-5.18404,0.68217,-8.64542,-4.57841,0.14035,-0.09346,0.11139
113,1882.843,16.667,0.83632,-10.54092,-5.59061,0.65085,-8.66143,-4.55262,0.16428,-0.13609,0.12825
114,1899.505,16.667,0.88451,-11.38652,-6.08561,0.62238,-8.67216,-4.53615,0.10490,-0.24280,0.11144
115,1916.372,16.667,1.34240,-13.54235,-7.85193,0.58786,-8.67757,-4.53040,0.04148,-0.39926,0.09037
116,1932.967,16.667,2.29320,-15.28189,-10.02482,0.52625,-8.69225,-4.50979,0.35988,-0.47872,0.15994
117,1949.531,16.667,2.45256,-15.55289,-10.64118,0.46833,-8.73630,-4.43036,0.92469,-0.38382,0.27540
118,1966.079,16.667,1.94858,-14.64713,-10.21172,0.40458,-8.81900,-4.26989,1.52912,-0.24429,0.38050
119,1982.898,16.667,1.13710,-13.00381,-8.02836,0.31189,-8.97438,-3.94126,2.10911,-0.08673,0.50083
120,1999.356,16.667,0.62668,-11.96622,-6.76108,0.23803,-9.10284,-3.64034,2.29856,0.00125,0.54657
121,2016.073,16.667,-0.12734,-9.84017,-4.47297,0.16436,-9.22586,-3.32068,2.32274,0.07426,0.54808
122,2032.682,16.667,-0.43530,-8.20523,-2.65307,0.07141,-9.36752,-2.90083,2.15049,0.14581,0.51880
123,2049.506,16.667,-0.45999,-7.48712,-2.02026,0.00763,-9.45265,-2.61107,1.94460,0.18046,0.47641
124,2066.670,16.667,-0.49246,-6.17899,-1.61594,-0.05023,-9.52146,-2.34726,1.76734,0.16726,0.42474
125,2083.184,16.667,-0.50622,-5.23253,-0.99030,-0.11644,-9.59539,-2.02120,1.65698,0.20071,0.34082
126,2100.301,16.667,-0.68295,-4.71029,-0.80730,-0.15240,-9.64131,-1.78671,1.59098,0.24539,0.23912
127,2114.311,16.667,-0.84396,-4.28068,-0.08918,-0.17266,-9.67960,-1.56392,1.48184,0.28797,0.13263
